Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
09/15/2017,-0.562662212737526,-0.475631610576331,-0.624577818986864,-0.0636600128249316,-0.364811856763196,-0.573585151654955
09/22/2017,-0.567145394377762,-0.486733505208723,-0.624235038594735,-0.0699819348454452,-0.377841662270634,-0.574598633931846
09/29/2017,-0.572718766783788,-0.499942836410334,-0.624449269111919,-0.0775111599514398,-0.39448638320149,-0.575333474765197
10/06/2017,-0.579697996849926,-0.515891982373647,-0.626210351933219,-0.0854258342443054,-0.413693549605452,-0.575731546753516
10/13/2017,-0.586880712520432,-0.532787332346884,-0.629072454030816,-0.0926676838343383,-0.434428454929363,-0.57572405694852
10/20/2017,-0.593805511782221,-0.55080517171513,-0.633214692360373,-0.0980529216864598,-0.4559783544389,-0.57525443358951
10/27/2017,-0.59923429548704,-0.568067009311091,-0.637894006365303,-0.10107575496274,-0.476939684193886,-0.574267017429881
11/03/2017,-0.603447801958434,-0.584445850603901,-0.643630163154735,-0.101285103101273,-0.496604141840014,-0.572714535343498
11/10/2017,-0.605567167497293,-0.596032970894648,-0.649257009499974,-0.099142263864501,-0.513911953307106,-0.570561579159964
11/17/2017,-0.606615743594839,-0.603147960330397,-0.65440815396231,-0.0957412712954259,-0.528822000615313,-0.567785502134133
11/24/2017,-0.607471295024379,-0.606072478398176,-0.659410033321731,-0.0921808123877585,-0.540589208721061,-0.564376980282201
12/01/2017,-0.608507064077564,-0.607202733262725,-0.664144849535884,-0.0892606998745547,-0.549196838084964,-0.560341649720122
12/08/2017,-0.609733608171525,-0.607899662329831,-0.668439816630893,-0.0876261756951641,-0.554575659535427,-0.555699114095223
12/15/2017,-0.612420056067277,-0.610530935541791,-0.672669033882657,-0.0881047692875214,-0.557224923022275,-0.550483086463686
12/22/2017,-0.616236766695014,-0.616197864652905,-0.676613595841925,-0.0903719552525634,-0.558026929527749,-0.544740937367004
